FI	FI_Name
FI_34	BANK OF AMERICA
FI_36	BANK UNITED CORP.
FI_41	BEAR STEARNS & CO. INC.
FI_62	CITIGROUP
FI_87	EMC MORTGAGE
FI_153	J.P. MORGAN CHASE
FI_306	WELLS FARGO
FI_35	BANK OF NEW YORK MELLON CORP.
FI_71	COUNTRYWIDE HOME LOANS
FI_72	COUNTRYWIDE SECURITIES CORPORATION
FI_74	CREDIT-BASED ASSET SERVICING AND SECURITIZATION
FI_266	TAYLOR, BEAN & WHITAKER
FI_291	TRANSFEROR
FI_294	UBS AG
FI_300	US TRUST
FI_22	AMERIQUEST MORTGAGE CO.
FI_73	CREDIT SUISSE SECURITIES (USA) LLC
FI_80	DEUTSCHE BANK
FI_308	WILMINGTON TRUST
FI_53	CENDANT MORTGAGE
FI_171	MERRILL LYNCH
FI_141	HSBC
FI_79	DELTA FUNDING CORPORATION
FI_203	OCWEN
FI_234	RENAISSANCE MORTGAGE ACCEPTANCE
FI_82	DLJ MORTGAGE CAPITAL INC.
FI_293	U.S. BANK
FI_3	ABN AMRO INCORPORATED
FI_14	ALLIANCE BANCORP
FI_20	AMERICAN MORTGAGE
FI_63	CITIMORTGAGE
FI_186	NC CAPITAL
FI_39	BARCLAYS BANK PLC
FI_160	LONG BEACH MORTGAGE
FI_304	WASHINGTON MUTUAL
FI_125	GMAC RFC
FI_230	QUICKEN LOANS
FI_270	THE BOSTON COMPANY
FI_31	AURORA LOAN SERVICES LLC
FI_57	CHASE MANHATTAN BANK
FI_95	FAIRBANKS CAPITAL CORP
FI_104	FIELDSTONE SERVICING CORP.
FI_106	FINANCE AMERICA
FI_109	FIRST FRANKLIN FINANCIAL CORP.
FI_140	HOUSEHOLD
FI_157	LEHMAN BROTHERS
FI_178	MORTGAGE LENDERS NETWORK USA, INC.
FI_262	STRUCTURED ASSET
FI_309	WILSHIRE CREDIT CORPORATION
FI_147	INDYMAC
FI_263	SUNTRUST
FI_137	HOMECOMINGS FINANCIAL, LLC
FI_142	HUNTINGTON RESIDENTIAL MORTGAGE SECURITIES
